id,symbol,timestamp,open,high,low,close,volume,source,created_at
2854,GBP/USD,2025-07-08 13:00:00,1.36316,1.36385,1.36295,1.36335,0,twelvedata,2025-08-26 16:43:42
2855,GBP/USD,2025-07-08 14:00:00,1.36323,1.36413,1.36308,1.36323,0,twelvedata,2025-08-26 16:43:42
2856,GBP/USD,2025-07-08 15:00:00,1.36314,1.36349,1.36255,1.36294,0,twelvedata,2025-08-26 16:43:42
2857,GBP/USD,2025-07-08 16:00:00,1.36294,1.36325,1.3624,1.36272,0,twelvedata,2025-08-26 16:43:42
2858,GBP/USD,2025-07-08 17:00:00,1.36277,1.36463,1.36277,1.36408,0,twelvedata,2025-08-26 16:43:42
2859,GBP/USD,2025-07-08 18:00:00,1.36403,1.36408,1.36119,1.3613,0,twelvedata,2025-08-26 16:43:42
2860,GBP/USD,2025-07-08 19:00:00,1.36132,1.36143,1.35936,1.35936,0,twelvedata,2025-08-26 16:43:42
2861,GBP/USD,2025-07-08 20:00:00,1.35949,1.35949,1.3577,1.35783,0,twelvedata,2025-08-26 16:43:42
2862,GBP/USD,2025-07-08 21:00:00,1.3577,1.35862,1.35752,1.35752,0,twelvedata,2025-08-26 16:43:42
2863,GBP/USD,2025-07-08 22:00:00,1.35744,1.35849,1.35641,1.35788,0,twelvedata,2025-08-26 16:43:42
2864,GBP/USD,2025-07-08 23:00:00,1.35787,1.35788,1.35413,1.35562,0,twelvedata,2025-08-26 16:43:42
2865,GBP/USD,2025-07-09 00:00:00,1.355,1.3561,1.3527,1.35452,0,twelvedata,2025-08-26 16:43:42
2866,GBP/USD,2025-07-09 01:00:00,1.35468,1.35783,1.35417,1.35728,0,twelvedata,2025-08-26 16:43:42
2867,GBP/USD,2025-07-09 02:00:00,1.35722,1.35822,1.35648,1.35787,0,twelvedata,2025-08-26 16:43:42
2868,GBP/USD,2025-07-09 03:00:00,1.35798,1.35934,1.35781,1.35925,0,twelvedata,2025-08-26 16:43:42
2869,GBP/USD,2025-07-09 04:00:00,1.35934,1.35966,1.35866,1.35938,0,twelvedata,2025-08-26 16:43:42
